"ID","Reservatorio","Municipio","Bacia","Status","Problemas","Alertas","Data_inicio_niveis","Data_fim_niveis","Registros_niveis","Datas_duplicadas_niveis","Cotas_ausentes","Tem_retiradas","Tem_precipitacao","Tem_CAV","Tem_vertedor","Tem_evaporacao","Tem_comporta","Tem_transferencia","Arquivo","Tamanho_bytes"
119,"Fogareiro","Quixeramobim","3","pronto","","368 data(s) duplicada(s) nos niveis",1996-01-14,2026-04-23,10176,368,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0119.rds",172190
51,"Forquilha","Forquilha","6","pronto","","286 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,12572,286,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0051.rds",175683
72,"Forquilha II","Tauá","1","pronto","","",1992-03-01,2025-09-08,8610,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0072.rds",139094
77,"Frios","Umirim","8","pronto","","227 data(s) duplicada(s) nos niveis",1991-07-01,2026-04-23,12438,227,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0077.rds",190733
210,"Gameleira","Itapipoca","11","pronto","","",2013-04-24,2026-04-23,4725,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0210.rds",119545
169,"Gangorra","Granja","7","pronto","","83 data(s) duplicada(s) nos niveis",1999-03-01,2026-04-23,9257,83,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0169.rds",154367
95,"Gavião","Pacatuba","10","pronto","","370 data(s) duplicada(s) nos niveis",1992-10-01,2026-04-23,11134,370,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0095.rds",177284
7,"General Sampaio","General Sampaio","8","pronto","","367 data(s) duplicada(s) nos niveis",1989-01-01,2026-04-23,13089,367,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0007.rds",198091
1123,"Gerardo Atimbone","Sobral","11","incompleto","parametros do vertedor incompletos","",2012-02-01,2025-09-08,4936,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_1123.rds",112648
205,"Germinal","Palmácia","10","pronto","","",2017-07-01,2026-04-23,3219,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0205.rds",114330
36,"Gomes","Mauriti","2","pronto","","64 data(s) duplicada(s) nos niveis",1992-02-19,2026-04-23,8762,64,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0036.rds",151683
211,"Itapajé","Itapajé","8","pronto","","",2013-04-01,2026-04-23,4732,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0211.rds",107995
244,"Itapebussu","Maranguape","10","pronto","","369 data(s) duplicada(s) nos niveis",2007-08-01,2026-04-23,7170,369,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0244.rds",146815
180,"Itaúna","Granja","7","pronto","","272 data(s) duplicada(s) nos niveis",2001-05-01,2026-04-23,7610,272,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0180.rds",148628
69,"Jaburu I","Ubajara","12","pronto","","38 data(s) duplicada(s) nos niveis",1992-08-24,2026-04-23,10921,38,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0069.rds",187702
52,"Jaburu II","Independência","9","pronto","","97 data(s) duplicada(s) nos niveis",1992-05-01,2026-04-23,10838,97,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0052.rds",161549
135,"Jatobá","Milhã","3","pronto","","",1999-10-01,2025-09-08,7555,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0135.rds",143322
216,"Jatobá II","Ipueiras","6","pronto","","",2015-03-30,2026-04-23,4040,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0216.rds",105780
