2016a202Edson   Queiroz Braco          1,       EngRev,     0.87
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     622    0.00      90       8
     623    0.00      90       8
     624    1.37      90       8
     625    0.00      90       8
     626    1.37      90       8
     627    0.00      90       8
     628    0.00      90       8
     629    5.37      90       8
     630    5.25      90       8
     631    5.09      90       8
     632    0.00      90       8
     633    0.64      90       8
     634    4.76      90       8
     635    0.00      90       8
     636    9.11      90       8
     637    0.00      90       8
     638    0.00      90       8
     639    0.00      90       8
     640    0.00      90       8
     641    0.00      90       8
     642    0.00      90       8
     643    0.00      90       8
     644    0.00      90       8
     645    0.00      90       8
     646    0.00      90       8
     647    0.00      90       8
     648    0.00      90       8
     649   11.95      90       8
     650    0.69      90       8
     651   10.81      90       8
     652   10.33      90       8
     653    9.88      90       8
     654    9.29      90       8
     655    0.00      90       8
     656    1.39      90       8
     657    1.39      90       8
     658    1.38      90       8
     659    1.65      90       8
     660    1.65      90       8
     661    1.64      90       8
     662    1.64      90       8
     663    0.00      90       8
     664    1.64      90       8
     665    1.64      90       8
     666    0.00      90       8
     667    1.64      90       8
     668    1.63      90       8
     669    1.43      90       8
     670    1.43      90       8
     671    1.47      90       8
     672    1.47      90       8
     673    0.00      90       8
     674    1.47      90       8
     675    0.00      90       8
     676    1.47      90       8
     677    1.47      90       8
     678    0.00      90       8
     679    0.00      90       8
     680    1.46      90       8
     681    1.46      90       8
     682    1.46      90       8
     683    1.46      90       8
     684    1.46      90       8
     685    1.46      90       8
     686    1.46      90       8
     687    1.46      90       8
     688    1.46      90       8
     689    0.00      90       8
     690    1.45      90       8
     691    1.45      90       8
     692    1.45      90       8
     693    1.45      90       8
     694    0.00      90       8
     695    1.45      90       8
     696    1.45      90       8
     697    1.45      90       8
     698    1.45      90       8
     699    0.00      90       8
     700    1.45      90       8
     701    1.58      90       8
     702    0.00      90       8
     703    0.00      90       8
     704    1.57      90       8
     705    1.57      90       8
     706    1.57      90       8
     707    1.57      90       8
     708    1.57      90       8
     709    1.57      90       8
     710    1.56      90       8
     711    1.56      90       8
     712    1.56      90       8
     713    1.56      90       8
     714    0.00      90       8
     715    1.56      90       8
     716    0.00      90       8
     717    1.56      90       8
     718    1.56      90       8
     719    1.55      90       8
     720    1.55      90       8
     721    1.55      90       8
     722    1.55      90       8
     723    1.55      90       8
     724    1.55      90       8
     725    1.55      90       8
     726    1.55      90       8
     727    1.54      90       8
     728    1.54      90       8
     729    1.54      90       8
     730    1.54      90       8
     731    1.54      90       8
     732    2.17      90       8
     733    2.17      90       8
     734    2.17      90       8
     735    2.16      90       8
     736    0.00      90       8
     737    2.15      90       8
     738    2.15      90       8
     739    2.15      90       8
     740    0.00      90       8
     741    2.14      90       8
     742    2.13      90       8
     743    2.13      90       8
     744    2.13      90       8
     745    2.12      90       8
     746    2.12      90       8
     747    0.00      90       8
     748    2.11      90       8
     749    2.11      90       8
     750    2.11      90       8
     751    0.00      90       8
     752    2.09      90       8
     753    0.64      90       8
     754    2.09      90       8
     755    2.09      90       8
     756    2.08      90       8
     757    2.08      90       8
