2016a   2021EdsoQueiroz Braco          2,       EngRev,     0.13
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     850    4.80       1       5
     851    4.80       1       5
     852    4.85       1       5
     853    1.93       1       5
     854    4.85       1       5
     855    4.85       1       5
     856    4.85       1       5
     857    0.00       1       5
     858    4.85       1       5
     859    4.85       1       5
     860    1.25       1       5
     861    4.85       1       5
     862    4.85       1       5
     863    0.00       1       5
     864    4.85       1       5
     865    4.85       1       5
     866    0.00       1       5
     867    4.85       1       5
     868    0.00       1       5
     869    0.00       1       5
     870    4.85       1       5
     871    0.00       1       5
     872    4.89       1       5
     873    0.00       1       5
     874    4.89       1       5
     875    0.00       1       5
     876    4.89       1       5
     877    0.00       1       5
     878    0.00       1       5
     879    4.89       1       5
     880    0.00       1       5
     881    0.00       1       5
     882    0.00       1       5
     883    4.50       1       5
     884    0.00       1       5
     885    4.50       1       5
     886    0.00       1       5
     887    0.00       1       5
     888    4.50       1       5
     889    0.00       1       5
     890    0.00       1       5
     891    4.50       1       5
     892    0.00       1       5
     893    4.50       1       5
     894    0.00       1       5
     895    0.00       1       5
     896    4.54       1       5
     897    0.00       1       5
     898    0.00       1       5
     899    4.54       1       5
     900    0.00       1       5
     901    0.00       1       5
     902    0.00       1       5
     903   14.70       1       5
     904   14.70       1       5
     905   14.70       1       5
     906   14.23       1       5
     907   14.23       1       5
     908   14.23       1       5
     909   14.23       1       5
     910    0.00       1       5
     911   14.23       1       5
     912   14.23       1       5
     913    0.00       1       5
     914    2.31       1       5
     915    0.00       1       5
     916    0.00       1       5
     917    0.00       1       5
     918    0.00       1       5
     919    0.00       1       5
     920    0.00       1       5
     921    0.00       1       5
     922    0.00       1       5
     923    0.00       1       5
     924    0.00       1       5
     925    0.00       1       5
     926    0.00       1       5
     927    0.00       1       5
     928    0.00       1       5
     929    0.00       1       5
     930    0.00       1       5
     931    0.00       1       5
     932    0.00       1       5
     933    0.00       1       5
     934    0.00       1       5
     935    0.00       1       5
     936    0.00       1       5
     937    0.00       1       5
     938    0.00       1       5
     939    0.00       1       5
     940    0.00       1       5
     941    0.00       1       5
     942    0.00       1       5
     943    0.00       1       5
     944    0.00       1       5
     945    0.00       1       5
     946    0.00       1       5
     947    0.00       1       5
     948    0.00       1       5
     949    0.00       1       5
     950    0.00       1       5
     951    0.00       1       5
     952    0.00       1       5
     953    0.00       1       5
     954    0.00       1       5
     955    0.00       1       5
     956    0.00       1       5
     957    0.00       1       5
     958    3.28       1       5
     959   10.33       1       5
     960   10.33       1       5
     961   10.33       1       5
     962   10.33       1       5
     963    0.00       1       5
     964   10.33       1       5
     965   10.33       1       5
     966    0.00       1       5
     967   10.33       1       5
     968   10.33       1       5
     969    0.00       1       5
     970    0.00       1       5
     971    0.00       1       5
     972    3.32       1       5
     973    0.00       1       5
     974    0.00       1       5
     975    5.49       1       5
     976    5.49       1       5
     977    5.49       1       5
     978    5.49       1       5
     979    5.49       1       5
     980    0.00       1       5
     981    5.49       1       5
     982    5.49       1       5
     983    5.49       1       5
     984    5.49       1       5
     985    0.00       1       5
     986    5.49       1       5
     987    0.00       1       5
