2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
  292.00  0.0039       0       0
  293.00  0.0041       0       0
  294.00  0.0042       0       0
  295.00  0.0044       0       0
  296.00  0.0045       0       0
  297.00  0.0046       0       0
  298.00  0.0048       0       0
  299.00   0.005       0       0
  300.00  0.0051       0       0
  301.00  0.0053       0       0
  302.00  0.0055       0       0
  303.00  0.0057       0       0
  304.00  0.0058       0       0
  305.00   0.006       0       0
  306.00  0.0062       0       0
  307.00  0.0064       0       0
  308.00  0.0066       0       0
  309.00  0.0069       0       0
  310.00  0.0071       0       0
  311.00  0.0073       0       0
  312.00  0.0075       0       0
  313.00  0.0078       0       0
  314.00   0.008       0       0
  315.00  0.0083       0       0
  316.00  0.0085       0       0
  317.00  0.0088       0       0
  318.00   0.009       0       0
  319.00  0.0093       0       0
  320.00  0.0096       0       0
  321.00  0.0099       0       0
  322.00    0.01       0       0
  323.00    0.01       0       0
  324.00   0.011       0       0
  325.00   0.011       0       0
  326.00   0.011       0       0
  327.00   0.012       0       0
  328.00   0.012       0       0
  329.00   0.012       0       0
  330.00   0.013       0       0
  331.00   0.013       0       0
  332.00   0.014       0       0
  333.00   0.014       0       0
  334.00   0.014       0       0
  335.00   0.015       0       0
  336.00   0.015       0       0
  337.00   0.016       0       0
  338.00   0.016       0       0
  339.00   0.016       0       0
  340.00   0.017       0       0
  341.00   0.017       0       0
  342.00   0.018       0       0
  343.00   0.018       0       0
  344.00   0.019       0       0
  345.00   0.019       0       0
  346.00    0.02       0       0
  347.00    0.02       0       0
  348.00   0.021       0       0
  349.00   0.021       0       0
  350.00   0.022       0       0
  351.00 0.00048   1e-08     7.5
  352.00  0.0012 3.6e-09     6.7
  353.00   5e-07 3.3e-12     8.1
  354.00   4e-07 7.2e-13     7.9
  355.00   1e-06   2e-12     7.7
  356.00 2.4e-06   5e-12     7.8
  357.00 4.9e-06 1.1e-11     7.8
  358.00 1.7e-06 3.9e-12     7.7
  359.00   4e-06 9.9e-12     7.8
  360.00 8.5e-06 2.3e-11     7.8
  361.00 1.2e-05 3.4e-11     7.7
  362.00 2.1e-05 6.5e-11     7.7
  363.00 3.2e-05 1.1e-10     7.7
  364.00   1e-06 2.4e-12     7.9
  365.00 6.9e-07 7.9e-12     7.8
  366.00 1.7e-06 2.9e-12     7.6
  367.00   4e-06 7.4e-12     7.6
  368.00   4e-06   8e-12     7.7
  369.00 2.9e-06   6e-12     7.9
  370.00 1.3e-06 1.5e-11     7.9
  371.00 1.1e-06 1.2e-11     7.8
  372.00 1.7e-06 1.9e-11     7.8
  373.00   4e-06 4.7e-11     7.8
  374.00 1.8e-06 2.1e-11     7.9
  375.00 2.6e-06 3.2e-11     7.8
  376.00 4.9e-06 1.4e-11     7.8
  377.00 6.4e-07 7.4e-12     8.1
  378.00 8.1e-07 8.5e-12     7.9
  379.00   2e-06 2.2e-11     7.9
  380.00 4.5e-06 5.2e-11     7.9
  381.00   9e-06 7.6e-11     7.7
